S.No.,College,Role,City type,Previous CTC,Previous job changes,Graduation marks,Exp (Months),CTC
125,Tier 3,Executive,Non-Metro,54055,1,63,47,60944.33193
126,Tier 1,Executive,Non-Metro,49862,3,82,26,65065.52461
127,Tier 1,Manager,Non-Metro,56204,2,65,19,82667.77413
128,Tier 1,Executive,Non-Metro,65161,2,41,52,82517.58558
129,Tier 3,Manager,Non-Metro,42143,3,38,32,88208.37147
130,Tier 1,Executive,Metro,57924,4,62,38,68023.41161
131,Tier 1,Executive,Non-Metro,48755,2,69,59,73464.74883
132,Tier 1,Executive,Non-Metro,50926,3,83,61,77222.00146
133,Tier 1,Executive,Non-Metro,65158,3,67,53,67163.57407
134,Tier 3,Executive,Metro,46073,4,73,19,59241.32072
135,Tier 1,Executive,Non-Metro,53110,4,43,20,72322.79081
136,Tier 2,Executive,Non-Metro,50180,1,41,22,55226.52981
137,Tier 1,Executive,Metro,61124,3,64,19,73417.06923
138,Tier 3,Executive,Metro,54583,3,82,22,63534.87091
139,Tier 2,Executive,Non-Metro,52400,3,72,54,90774.03529
140,Tier 1,Executive,Non-Metro,64264,1,51,22,77666.94896
141,Tier 1,Executive,Metro,44197,3,52,34,95868.30175
142,Tier 1,Executive,Metro,56273,1,75,26,74544.56748
143,Tier 2,Manager,Metro,47481,4,42,34,77150.62719
144,Tier 3,Executive,Metro,58053,1,53,29,86298.81522
145,Tier 3,Manager,Metro,58071,4,76,30,74697.64028
146,Tier 2,Executive,Non-Metro,66845,1,60,29,58695.64976
147,Tier 3,Manager,Metro,60396,3,72,46,96190.71566
148,Tier 2,Executive,Non-Metro,67056,3,55,51,63582.13224
149,Tier 3,Executive,Non-Metro,63823,4,39,53,61586.13808
150,Tier 1,Executive,Metro,49475,3,71,19,75037.6806
151,Tier 3,Executive,Metro,50330,3,80,35,61282.09425
152,Tier 2,Executive,Metro,57858,4,43,48,71522.23325
153,Tier 1,Executive,Non-Metro,61627,3,58,32,74596.33064
154,Tier 1,Manager,Non-Metro,49733,1,76,42,77168.22491
155,Tier 1,Executive,Non-Metro,55308,2,36,40,75028.74584
156,Tier 3,Executive,Metro,66048,4,80,44,76619.74493
157,Tier 2,Manager,Metro,49405,1,63,48,75910.11212
158,Tier 1,Manager,Metro,49810,1,47,18,73056.76961
159,Tier 2,Manager,Metro,56330,4,46,30,94478.70035
160,Tier 2,Executive,Non-Metro,56485,2,36,50,69960.24848
161,Tier 3,Manager,Non-Metro,47053,2,46,42,67407.05031
162,Tier 2,Manager,Non-Metro,64179,4,74,18,97119.39077
163,Tier 1,Executive,Metro,60385,4,78,54,83984.48155
164,Tier 1,Executive,Non-Metro,50963,2,45,32,76385.23282
165,Tier 3,Executive,Metro,50024,1,77,37,66216.6966
166,Tier 1,Executive,Metro,50334,2,36,47,82526.92732
167,Tier 1,Executive,Non-Metro,61054,3,68,20,74459.24646
168,Tier 3,Executive,Non-Metro,58629,3,39,32,62936.69859
169,Tier 3,Executive,Non-Metro,52519,2,45,19,59425.88581
170,Tier 1,Executive,Metro,46993,3,50,27,69437.6329
171,Tier 2,Executive,Metro,67559,4,45,63,72083.48917
172,Tier 1,Executive,Metro,55944,2,53,49,69163.36128
173,Tier 1,Executive,Metro,38709,3,56,18,72747.12074
174,Tier 1,Executive,Non-Metro,61130,3,58,35,66726.93653
175,Tier 3,Executive,Non-Metro,54941,2,50,24,57067.6298
176,Tier 1,Manager,Non-Metro,58639,2,46,63,109108.1167
177,Tier 3,Executive,Metro,52098,2,84,38,73831.46194
178,Tier 1,Executive,Metro,53618,2,52,54,79031.19752
179,Tier 1,Executive,Non-Metro,57261,4,62,46,77631.45557
180,Tier 1,Executive,Non-Metro,53158,4,66,41,78524.14656
181,Tier 3,Executive,Metro,53511,1,84,58,70856.24201
182,Tier 2,Executive,Non-Metro,58408,2,56,18,61042.81055
183,Tier 1,Executive,Metro,46722,2,49,22,66407.60768
184,Tier 3,Executive,Non-Metro,49331,1,78,44,71632.12785
185,Tier 2,Executive,Metro,53717,2,41,44,78002.77986
186,Tier 1,Manager,Metro,70258,4,38,36,115126.7459
187,Tier 2,Executive,Non-Metro,53186,3,62,26,58559.16367
188,Tier 1,Executive,Non-Metro,59273,1,80,30,62275.25329
189,Tier 1,Executive,Non-Metro,59466,3,45,41,73749.43999
190,Tier 3,Executive,Non-Metro,55639,1,40,29,55927.32182
191,Tier 2,Executive,Metro,61138,3,68,61,67174.80659
192,Tier 1,Executive,Non-Metro,47831,4,74,36,70249.63459
193,Tier 2,Executive,Metro,51919,4,82,25,69896.21584
194,Tier 3,Executive,Non-Metro,49310,1,47,56,68123.80322
195,Tier 2,Executive,Metro,61973,1,51,18,56131.76371
196,Tier 3,Executive,Metro,52475,3,39,19,63426.47769
197,Tier 1,Executive,Non-Metro,62262,3,43,39,68762.5988
198,Tier 2,Executive,Non-Metro,49159,3,57,45,65693.05207
199,Tier 3,Executive,Non-Metro,44451,1,65,51,59721.74204
200,Tier 1,Executive,Non-Metro,64873,3,48,64,85224.18671
201,Tier 3,Executive,Non-Metro,55261,1,36,19,53356.7192
202,Tier 2,Executive,Non-Metro,53405,1,46,48,67405.53923
203,Tier 3,Executive,Non-Metro,48982,3,77,60,73639.0617
204,Tier 2,Manager,Non-Metro,60286,1,73,27,91956.83817
205,Tier 1,Executive,Metro,44712,2,49,46,76451.54717
206,Tier 1,Executive,Non-Metro,49882,2,57,28,64100.13224
207,Tier 2,Executive,Metro,46791,3,59,59,78379.78756
208,Tier 1,Manager,Metro,52585,3,78,35,77592.93814
209,Tier 1,Executive,Non-Metro,59130,1,79,63,70314.88687
210,Tier 1,Executive,Metro,63061,4,36,40,72339.71319
211,Tier 1,Executive,Metro,55293,4,39,20,75774.95376
212,Tier 3,Executive,Metro,54222,4,40,40,71232.98218
213,Tier 3,Executive,Metro,48720,3,66,24,61022.26774
214,Tier 2,Executive,Non-Metro,49971,2,77,34,69437.40602
215,Tier 1,Executive,Non-Metro,58774,4,70,45,73028.66894
216,Tier 1,Executive,Non-Metro,59781,1,46,41,76811.44908
217,Tier 3,Executive,Non-Metro,54690,3,71,53,65923.71667
218,Tier 2,Executive,Metro,43494,1,60,27,68676.9254
219,Tier 2,Executive,Non-Metro,54356,1,69,26,67766.32868
220,Tier 2,Executive,Non-Metro,44261,4,64,24,75535.50115
221,Tier 1,Executive,Non-Metro,61570,3,74,34,75762.90757
222,Tier 1,Executive,Non-Metro,59600,3,52,53,75588.76396
223,Tier 1,Executive,Metro,52971,2,56,32,70086.0658
224,Tier 1,Manager,Metro,57963,2,60,19,96125.17629
225,Tier 2,Manager,Metro,44781,2,75,42,80753.62312
226,Tier 2,Executive,Metro,62903,4,82,55,71048.23812
227,Tier 2,Executive,Metro,58282,4,78,28,71454.89543
228,Tier 2,Executive,Non-Metro,66411,1,47,58,87222.87077
229,Tier 1,Executive,Non-Metro,58109,4,44,41,75683.99176
230,Tier 1,Executive,Metro,51572,4,35,47,78834.20245
231,Tier 3,Executive,Non-Metro,63031,1,48,42,72943.91058
232,Tier 2,Executive,Non-Metro,54081,1,42,59,66774.10673
233,Tier 1,Executive,Non-Metro,45676,4,81,19,58845.39621
234,Tier 1,Executive,Metro,52116,2,60,59,75689.82777
235,Tier 3,Executive,Metro,46127,1,56,39,68623.4136
236,Tier 2,Manager,Non-Metro,48343,3,78,40,68392.66609
237,Tier 2,Executive,Non-Metro,56666,3,47,18,53730.63497
238,Tier 2,Executive,Metro,67170,4,55,31,69913.10507
239,Tier 3,Manager,Metro,51096,3,70,19,80820.27362
240,Tier 2,Executive,Metro,64120,2,35,44,71001.52598
241,Tier 1,Manager,Non-Metro,59001,2,81,23,89974.0452
242,Tier 1,Executive,Non-Metro,45187,3,74,33,71161.34095
243,Tier 1,Executive,Non-Metro,53027,4,69,55,106846.3433
244,Tier 1,Executive,Metro,55858,4,47,40,77673.28793
245,Tier 1,Manager,Non-Metro,49074,3,58,63,84287.39457
246,Tier 3,Executive,Metro,54121,3,51,54,84320.29067
247,Tier 2,Executive,Non-Metro,61285,3,44,60,77283.58877
248,Tier 2,Executive,Metro,63140,1,44,24,68416.85827
249,Tier 1,Executive,Metro,44907,1,60,19,70186.1926
250,Tier 1,Executive,Metro,52054,2,67,29,73394.09041
251,Tier 1,Manager,Metro,44353,3,75,18,70056.31309
252,Tier 1,Manager,Non-Metro,54987,3,69,63,111873.3038
253,Tier 2,Manager,Metro,54808,2,51,54,101785.0447
254,Tier 1,Executive,Metro,58153,3,55,27,76298.89594
255,Tier 1,Manager,Metro,51912,2,66,50,113141.1443
256,Tier 1,Executive,Non-Metro,51735,1,67,55,71890.0948
257,Tier 3,Manager,Metro,55928,4,75,56,108750.8697
258,Tier 2,Executive,Non-Metro,61132,1,72,38,68120.02504
259,Tier 3,Executive,Metro,47560,4,70,51,67760.38062
260,Tier 3,Manager,Metro,53080,3,68,19,97151.37752
261,Tier 1,Executive,Non-Metro,46136,1,73,58,81234.59901
262,Tier 2,Manager,Non-Metro,54869,2,76,20,72296.78844
263,Tier 1,Manager,Metro,53471,3,58,52,82735.39843
264,Tier 3,Manager,Metro,66355,1,81,19,99815.95648
265,Tier 2,Executive,Non-Metro,62836,4,41,53,72755.38016
266,Tier 2,Manager,Metro,70468,2,38,46,111172.916
267,Tier 2,Manager,Metro,45743,4,45,40,80222.49898
268,Tier 1,Executive,Non-Metro,54083,3,83,59,70531.8226
269,Tier 1,Executive,Metro,50573,3,60,45,70207.24153
270,Tier 1,Executive,Metro,46637,4,46,49,66843.75255
271,Tier 2,Executive,Metro,50393,4,55,18,60213.58298
272,Tier 1,Manager,Metro,63916,1,70,50,105334.4985
273,Tier 3,Executive,Metro,62911,3,65,41,65659.68642
274,Tier 1,Executive,Metro,56876,1,35,50,83092.15943
275,Tier 3,Executive,Metro,54032,1,38,25,66571.16732
276,Tier 1,Executive,Non-Metro,52888,4,76,47,78083.21034
277,Tier 3,Executive,Metro,43457,1,74,19,62954.4101
278,Tier 1,Executive,Non-Metro,51281,3,55,22,66298.70223
279,Tier 2,Executive,Metro,54806,2,57,59,82475.16318
280,Tier 2,Executive,Non-Metro,49646,1,59,51,74374.59907
281,Tier 1,Manager,Non-Metro,52883,1,55,40,78949.12099
282,Tier 1,Manager,Metro,68419,4,46,54,106418.3208
283,Tier 1,Executive,Metro,50242,4,71,30,70060.23294
284,Tier 1,Executive,Non-Metro,57133,3,72,55,77111.80888
285,Tier 1,Executive,Non-Metro,52065,4,80,52,68439.79026
286,Tier 2,Executive,Metro,53490,2,72,46,68607.85659
287,Tier 1,Executive,Non-Metro,68539,3,51,46,76839.09445
288,Tier 3,Executive,Non-Metro,48471,1,52,63,70363.67449
289,Tier 1,Manager,Non-Metro,59759,4,67,59,104376.5848
290,Tier 2,Executive,Metro,48380,2,76,52,83078.60512
291,Tier 1,Executive,Non-Metro,56990,3,85,28,72326.82754
292,Tier 1,Executive,Metro,51090,3,80,29,88238.2417
293,Tier 2,Manager,Metro,74198,1,57,25,99644.51268
294,Tier 2,Executive,Non-Metro,49883,2,83,22,60621.4848
295,Tier 1,Executive,Metro,54757,1,70,25,81168.13838
296,Tier 1,Executive,Metro,47031,1,77,18,69525.72682
297,Tier 1,Manager,Metro,50737,3,59,19,80080.38798
298,Tier 2,Manager,Metro,51867,3,71,47,82688.35277
299,Tier 3,Manager,Metro,55886,1,59,31,96427.6749
300,Tier 3,Executive,Non-Metro,58056,2,35,48,69477.19058
301,Tier 1,Executive,Metro,53101,4,70,36,74538.40002
302,Tier 1,Manager,Non-Metro,48782,4,48,53,79584.67817
303,Tier 2,Executive,Non-Metro,61585,1,43,56,74831.09605
304,Tier 2,Executive,Non-Metro,59979,4,75,28,58131.91129
305,Tier 1,Executive,Non-Metro,63899,1,56,57,84743.00215
306,Tier 3,Executive,Metro,54798,1,54,29,75534.3971
307,Tier 1,Executive,Non-Metro,54744,4,78,28,81481.55648
308,Tier 2,Executive,Non-Metro,58383,2,46,30,69300.19403
309,Tier 1,Executive,Metro,58709,4,85,58,90313.74558
310,Tier 3,Executive,Non-Metro,54126,2,43,41,73396.24209
311,Tier 1,Executive,Metro,52976,4,50,50,70039.58733
312,Tier 1,Executive,Non-Metro,50339,2,60,19,70424.37488
313,Tier 2,Manager,Metro,61609,2,74,43,91694.56714
314,Tier 2,Executive,Metro,63395,1,66,49,74782.68355
315,Tier 1,Manager,Non-Metro,61270,2,73,27,102262.8176
316,Tier 1,Executive,Metro,61862,4,51,52,79093.55121
317,Tier 3,Executive,Metro,60695,1,62,50,70326.56076
318,Tier 1,Executive,Metro,59922,3,42,54,86259.99791
319,Tier 3,Executive,Non-Metro,53748,2,74,44,63434.77411
320,Tier 1,Executive,Metro,62196,2,69,32,66943.00746
321,Tier 3,Executive,Metro,52827,2,43,34,65127.5795
322,Tier 1,Executive,Non-Metro,56003,1,68,26,79572.90617
323,Tier 1,Manager,Metro,60107,3,40,34,108959.6778
324,Tier 1,Executive,Metro,67292,3,46,57,75485.171
325,Tier 1,Executive,Metro,49605,4,58,29,66564.33827
326,Tier 1,Executive,Metro,63647,3,50,40,77855.10905
327,Tier 2,Executive,Non-Metro,48581,4,69,27,58157.33372
328,Tier 3,Manager,Metro,63334,1,71,45,94904.9151
329,Tier 1,Manager,Non-Metro,62264,2,52,64,114996.2348
330,Tier 1,Executive,Metro,61180,1,53,52,84453.82063
331,Tier 1,Manager,Non-Metro,63370,1,38,61,112185.2983
332,Tier 3,Manager,Metro,52121,4,64,52,85433.78224
333,Tier 3,Executive,Non-Metro,58782,4,81,61,71725.41845
334,Tier 1,Executive,Non-Metro,52717,3,81,56,69686.42924
335,Tier 1,Executive,Non-Metro,65291,2,51,43,87624.82352
336,Tier 1,Executive,Metro,62820,3,62,64,75366.41121
337,Tier 2,Executive,Metro,55219,3,36,60,69293.67109
338,Tier 3,Executive,Metro,50637,4,81,62,72653.53997
339,Tier 1,Manager,Metro,56777,3,72,50,101676.2682
340,Tier 2,Executive,Non-Metro,48367,2,82,46,64602.94425
341,Tier 1,Executive,Non-Metro,50440,4,49,24,84891.90635
342,Tier 3,Executive,Metro,56640,4,59,62,80912.22401
343,Tier 1,Executive,Non-Metro,52862,4,38,60,75668.59508
344,Tier 1,Executive,Metro,66238,4,37,63,87865.9542
345,Tier 2,Executive,Non-Metro,63067,2,41,49,72570.68212
346,Tier 2,Executive,Non-Metro,50768,4,65,34,63243.70668
347,Tier 2,Executive,Metro,62897,2,57,33,64127.08688
348,Tier 1,Executive,Metro,56970,3,43,46,81291.40537
349,Tier 2,Executive,Non-Metro,50145,2,57,36,58437.39215
350,Tier 3,Executive,Metro,57744,3,71,19,68804.21812
351,Tier 3,Executive,Non-Metro,50546,2,70,57,65555.14822
352,Tier 1,Executive,Non-Metro,49630,3,39,50,78953.09393
353,Tier 1,Executive,Non-Metro,49201,1,75,30,71665.52047
354,Tier 1,Executive,Metro,59672,1,41,33,78716.5421
355,Tier 2,Executive,Non-Metro,65360,4,85,18,67305.64112
356,Tier 1,Executive,Metro,56630,4,78,46,91874.27451
357,Tier 2,Executive,Metro,66225,2,52,46,68828.38661
358,Tier 3,Executive,Metro,50905,1,51,47,71592.05846
359,Tier 2,Executive,Metro,70139,3,57,23,69655.87385
360,Tier 2,Executive,Non-Metro,50225,3,78,18,55965.32082
361,Tier 1,Executive,Non-Metro,58491,1,82,48,77991.99916
362,Tier 1,Executive,Metro,54429,3,73,35,67723.63994
363,Tier 1,Manager,Non-Metro,48660,4,40,19,69552.89854
364,Tier 1,Executive,Non-Metro,54944,4,52,21,71319.69157
365,Tier 2,Executive,Non-Metro,45569,1,45,21,61314.48737
366,Tier 1,Executive,Non-Metro,54688,3,72,49,77659.79681
367,Tier 1,Executive,Non-Metro,55031,3,38,56,79567.49558
368,Tier 3,Executive,Non-Metro,47800,3,51,42,64852.24096
369,Tier 3,Executive,Metro,53525,3,76,44,76874.66773
370,Tier 1,Executive,Metro,58158,4,52,18,74609.27118
371,Tier 3,Executive,Non-Metro,45831,4,50,61,67830.32327
372,Tier 1,Executive,Non-Metro,49068,3,38,57,76946.27443
373,Tier 1,Executive,Non-Metro,59055,1,62,42,74170.88398
374,Tier 1,Manager,Metro,56061,1,50,26,89914.72929
375,Tier 2,Executive,Metro,54739,1,41,20,57101.03568
376,Tier 3,Manager,Non-Metro,48909,1,63,23,72988.31251
377,Tier 1,Manager,Non-Metro,53938,1,61,39,75465.42477
378,Tier 2,Manager,Metro,64117,4,77,24,98229.46225
379,Tier 3,Executive,Non-Metro,53523,1,61,64,75104.22212
380,Tier 2,Executive,Metro,54533,1,68,62,94600.0451
381,Tier 1,Manager,Non-Metro,41686,2,52,27,71243.96953
382,Tier 1,Manager,Metro,52894,2,43,55,101285.2988
383,Tier 2,Executive,Metro,54634,2,76,55,78275.86986
384,Tier 2,Executive,Non-Metro,71502,4,49,35,74600.08894
385,Tier 1,Executive,Metro,49626,3,59,44,72344.51137
386,Tier 1,Executive,Metro,64324,4,74,19,71994.50273
387,Tier 2,Executive,Non-Metro,62778,1,51,58,77589.3606
388,Tier 3,Executive,Metro,52970,1,49,50,90017.28197
389,Tier 3,Executive,Non-Metro,45893,4,75,26,65271.6839
390,Tier 3,Executive,Non-Metro,50488,2,59,24,66640.88698
391,Tier 1,Executive,Metro,60137,4,65,48,89189.31287
392,Tier 3,Executive,Non-Metro,57816,4,66,19,59189.51661
393,Tier 1,Executive,Metro,51943,1,62,48,69695.93535
394,Tier 1,Executive,Metro,59544,3,51,49,70403.99668
395,Tier 1,Executive,Non-Metro,61499,2,76,46,64944.98507
396,Tier 3,Executive,Metro,41294,1,39,46,71733.24842
397,Tier 1,Executive,Non-Metro,58538,1,75,43,76807.17767
398,Tier 2,Executive,Metro,57406,2,61,21,84235.7398
399,Tier 1,Executive,Metro,50528,1,68,64,74927.63134
400,Tier 2,Executive,Non-Metro,61700,4,36,18,66204.57797
401,Tier 1,Executive,Non-Metro,47270,1,51,51,68331.12
402,Tier 2,Executive,Metro,69065,1,76,47,80932.57875
403,Tier 3,Executive,Non-Metro,60257,4,39,64,82519.16418
404,Tier 3,Executive,Metro,61079,1,79,49,77040.50861
405,Tier 1,Executive,Metro,42108,3,49,31,72612.42351
406,Tier 1,Executive,Non-Metro,63977,4,63,52,84692.1592
407,Tier 2,Executive,Non-Metro,45174,3,61,33,65377.42227
408,Tier 1,Executive,Non-Metro,52699,3,69,47,69660.74971
409,Tier 2,Executive,Metro,42512,2,80,38,69717.82531
410,Tier 2,Executive,Metro,55176,3,75,32,57008.6599
411,Tier 3,Executive,Metro,38605,1,38,19,69365.77552
412,Tier 1,Manager,Non-Metro,46677,1,39,44,77774.74162
413,Tier 1,Manager,Non-Metro,45778,1,71,26,79016.85403
414,Tier 1,Executive,Metro,43939,2,39,25,74387.53526
415,Tier 3,Executive,Non-Metro,56398,4,57,19,68191.78329
416,Tier 2,Executive,Non-Metro,55835,2,42,43,60230.16351
417,Tier 2,Executive,Metro,63076,2,76,52,73796.53704
418,Tier 1,Manager,Non-Metro,42990,4,69,36,72310.20056
419,Tier 2,Executive,Metro,65196,4,57,64,81015.31755
420,Tier 3,Manager,Non-Metro,52971,3,38,63,81697.60174
421,Tier 2,Manager,Metro,59430,4,54,64,104243.1488
422,Tier 2,Manager,Metro,60711,1,65,61,101556.3383
423,Tier 1,Manager,Metro,55375,1,68,40,106794.9298
424,Tier 1,Executive,Metro,52454,4,73,25,71600.01982
425,Tier 1,Executive,Metro,58185,3,83,48,81949.56495
426,Tier 2,Executive,Metro,47925,1,36,45,73749.23065
427,Tier 1,Executive,Non-Metro,47421,2,53,38,71375.68383
428,Tier 1,Executive,Non-Metro,51533,3,61,18,72477.67164
